City ID,City,Country,Date,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
333,Bojnourd,IR,1599271879,37.47,57.33,57.2,47,0,2.24
334,Balkhash,KZ,1599271879,46.84,74.98,54.37,47,10,13.82
335,Betanzos,ES,1599271880,43.28,-8.21,66.0,100,75,4.7
336,Barguzin,RU,1599271880,53.62,109.62,64.33,66,100,3.06
337,Alofi,NU,1599271880,-19.06,-169.92,75.2,60,90,11.41
338,Guerrero Negro,MX,1599271881,27.98,-114.06,74.68,74,0,16.4
339,Waipawa,NZ,1599271881,-41.41,175.52,59.0,82,48,18.34
340,Atar,MR,1599271882,20.52,-13.05,89.2,41,99,10.51
341,Pangai,TO,1599271882,-19.8,-174.35,77.0,61,20,11.41
342,George Town,MY,1599271812,5.41,100.34,82.4,88,20,1.12
343,Sitka,US,1599271883,57.05,-135.33,59.0,77,90,10.29
344,San Cristobal,VE,1599271883,7.77,-72.22,82.4,69,40,3.36
345,São Mateus,BR,1599271883,-18.72,-39.86,70.79,86,0,5.88
346,High Rock,BS,1599271884,26.62,-78.28,84.76,76,44,12.5
347,Bar Harbor,US,1599271884,44.39,-68.2,66.2,52,1,4.7
348,Polyarny,RU,1599271885,69.2,33.45,53.6,93,40,6.71
349,Bandarbeyla,SO,1599271885,9.49,50.81,74.88,78,80,22.17
350,Tuatapere,NZ,1599271839,-46.13,167.68,57.16,53,90,3.36
351,Maniitsoq,GL,1599271887,65.42,-52.9,47.05,93,100,9.51
352,Lavrentiya,RU,1599271887,65.58,-171.0,44.83,63,34,10.54
353,Pimentel,PE,1599271887,-6.84,-79.93,59.74,88,0,12.01
354,Rocha,UY,1599271888,-34.48,-54.33,44.53,84,100,0.34
355,Wilmington,US,1599271794,34.23,-77.94,84.2,74,20,8.05
356,Davila,PH,1599271888,18.47,120.58,86.0,79,40,3.36
357,Alta,NO,1599271889,69.97,23.27,57.2,87,100,13.87
358,Saint-Pierre,RE,1599271889,-21.34,55.48,66.2,88,75,20.8
359,Jiuquan,CN,1599271889,39.74,98.52,70.97,27,100,4.32
360,Viseu,PT,1599271890,40.66,-7.91,66.99,43,0,3.0
361,Ciudad Bolivar,VE,1599271890,8.12,-63.55,81.03,68,100,5.41
362,Kenai,US,1599271890,60.55,-151.26,57.99,54,90,5.82
363,Patacamaya,BO,1599271891,-17.23,-67.92,44.31,75,53,9.84
